,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hours),Snow inches(last 3hours)
106,Touros,BR,2020-04-02 13:28:38,-5.2,-35.46,84.2,79,75,8.05,shower rain,0,0
107,Dzilam Gonzalez,MX,2020-04-02 13:28:38,21.28,-88.93,73.02,89,1,6.35,clear sky,0,0
108,Matagami,CA,2020-04-02 13:28:38,49.75,-77.63,30.2,100,90,5.82,overcast clouds,0,0
109,Richards Bay,ZA,2020-04-02 13:28:39,-28.78,32.04,71.53,67,80,12.66,light rain,0.49,0
110,Isangel,VU,2020-04-02 13:28:39,-19.55,169.27,77.0,88,99,3.36,light rain,0.74,0
111,Jiazi,CN,2020-04-02 13:28:39,22.88,116.07,66.83,80,95,12.28,light rain,0.29,0
112,Tazovskiy,RU,2020-04-02 13:28:39,67.47,78.7,32.04,96,100,17.13,overcast clouds,0,0
113,Talnakh,RU,2020-04-02 13:28:39,69.49,88.4,21.2,92,100,44.74,light snow,0,0.11
114,Comodoro Rivadavia,AR,2020-04-02 13:28:39,-45.87,-67.5,62.6,51,3,10.29,clear sky,0,0
115,Thompson,CA,2020-04-02 13:28:39,55.74,-97.86,35.6,69,90,8.05,overcast clouds,0,0
116,Heze,CN,2020-04-02 13:28:39,35.24,115.44,46.69,69,91,3.78,overcast clouds,0,0
117,Nouadhibou,MR,2020-04-02 13:28:40,20.93,-17.03,73.4,64,95,14.99,overcast clouds,0,0
118,Saskylakh,RU,2020-04-02 13:28:40,71.92,114.08,-11.72,87,32,5.66,scattered clouds,0,0
119,Sao Filipe,CV,2020-04-02 13:28:40,14.9,-24.5,77.7,63,78,14.41,broken clouds,0,0
120,Port Lincoln,AU,2020-04-02 13:28:40,-34.73,135.87,63.37,72,100,4.25,overcast clouds,0,0
121,Bac Lieu,VN,2020-04-02 13:28:40,9.29,105.72,82.42,74,65,14.56,broken clouds,0,0
122,Rorvik,NO,2020-04-02 13:28:40,64.86,11.24,34.16,93,100,8.57,light snow,0,1.46
123,San Patricio,MX,2020-04-02 13:28:41,19.22,-104.7,72.01,52,3,4.34,clear sky,0,0
124,Tasiilaq,GL,2020-04-02 13:28:41,65.61,-37.64,21.2,48,5,6.93,clear sky,0,0
125,Leshukonskoye,RU,2020-04-02 13:28:41,64.9,45.76,32.59,91,99,8.37,light snow,0,0.71
126,Ribeira Grande,PT,2020-04-02 13:28:41,38.52,-28.7,60.8,87,75,25.28,light rain,0,0
127,Majene,ID,2020-04-02 13:28:41,-3.54,118.97,79.61,85,92,4.7,light rain,0.92,0
128,Tarutyne,UA,2020-04-02 13:28:41,46.19,29.15,49.91,38,27,5.7,scattered clouds,0,0
129,Yaroslavl,RU,2020-04-02 13:27:14,57.63,39.87,42.8,52,75,11.18,broken clouds,0,0
130,Marawi,PH,2020-04-02 13:28:41,8.0,124.29,68.86,75,85,2.66,overcast clouds,0,0
131,Constitucion,CL,2020-04-02 13:28:42,-35.33,-72.42,53.91,58,5,7.63,clear sky,0,0
132,Mar Del Plata,AR,2020-04-02 13:26:21,-38.0,-57.56,64.99,59,40,23.04,scattered clouds,0,0
133,Linqing,CN,2020-04-02 13:28:42,36.85,115.71,51.94,44,7,3.4,clear sky,0,0
134,Gryazovets,RU,2020-04-02 13:28:42,58.88,40.25,36.97,71,100,12.35,overcast clouds,0,0
135,Solnechnyy,RU,2020-04-02 13:28:42,50.72,136.63,28.08,94,68,9.1,snow,0,2.35
136,Qaanaaq,GL,2020-04-02 13:28:42,77.48,-69.36,-5.93,80,89,9.26,overcast clouds,0,0
137,Bintulu,MY,2020-04-02 13:28:42,3.17,113.03,80.6,94,75,4.7,broken clouds,0,0
138,Laguna,US,2020-04-02 13:26:56,38.42,-121.42,48.2,49,1,13.87,clear sky,0,0
139,Goderich,CA,2020-04-02 13:28:43,43.75,-81.72,39.0,87,37,11.16,scattered clouds,0,0
140,Arlit,NE,2020-04-02 13:28:43,18.74,7.39,102.52,6,9,7.99,clear sky,0,0
141,Auki,SB,2020-04-02 13:28:43,-8.77,160.7,79.66,89,100,21.81,moderate rain,8.61,0
142,Carnarvon,AU,2020-04-02 13:28:43,-24.87,113.63,73.4,78,22,18.34,few clouds,0,0
143,Ivanava,BY,2020-04-02 13:28:43,52.15,25.54,46.15,53,54,15.48,broken clouds,0,0
144,Beboto,TD,2020-04-02 13:28:43,8.27,16.94,114.21,12,80,2.68,broken clouds,0,0
145,Ahipara,NZ,2020-04-02 13:28:43,-35.17,173.17,61.21,75,0,7.99,clear sky,0,0
146,La Reforma,MX,2020-04-02 13:28:44,25.08,-108.05,59.0,77,40,3.15,scattered clouds,0,0
147,Torbay,CA,2020-04-02 13:28:44,47.67,-52.73,41.0,100,90,19.46,light intensity drizzle,0,0
148,Sosnogorsk,RU,2020-04-02 13:26:01,63.6,53.88,30.29,94,100,9.35,light snow,0,0.16
149,Los Llanos De Aridane,ES,2020-04-02 13:28:44,28.66,-17.92,73.4,56,20,6.93,few clouds,0,0
150,Klyuchi,RU,2020-04-02 13:28:44,52.27,79.17,48.22,82,99,12.57,overcast clouds,0,0
151,Parabel,RU,2020-04-02 13:28:44,58.7,81.48,41.54,78,84,15.39,broken clouds,0,0
152,Grand-Santi,GF,2020-04-02 13:28:44,4.25,-54.38,76.89,91,98,2.26,light rain,0.44,0
